GABG	MN	47	6.574	0.792	0.627	7.532	0.942	0.887
GABG	ND	6	9.167	2.339	5.472	10.333	2.687	7.222
GABG	NY	123	6.683	0.895	0.802	7.667	1.049	1.1
GRPO	IL	11873	7.196	2.713	7.359	8.57	3.218	10.356
GRPO	MN	27	6.074	2.308	5.328	7.185	2.625	6.892
GRPO	ND	7	8.0	2.204	4.857	9.143	2.416	5.837
GRPO	NY	106	9.311	2.925	8.554	10.915	3.454	11.927
JMSI	IN	175495	7.188	1.904	3.627	8.312	2.195	4.817
JMSI	UT	51975	6.781	1.6	2.559	7.85	1.793	3.216
VENT	SC	255	9.506	2.393	5.724	11.227	3.009	9.054
VENT	TN	336	8.232	1.085	1.178	9.81	1.551	2.404
ASPN	MO	14887	8.193	2.319	5.377	10.117	2.662	7.084
BEST	HI	2037	15.341	2.163	4.676	17.501	2.51	6.298
BEST	MA	18216	6.69	1.019	1.039	7.629	1.241	1.539
BEST	SD	435	7.085	0.701	0.492	8.09	0.766	0.587
BINK	IL	42795	9.848	2.652	7.031	11.718	3.324	11.05
BINK	MN	14	11.214	1.423	2.026	13.357	1.716	2.944
BINK	ND	4	11.75	0.829	0.688	13.75	0.829	0.688
BINK	NY	66	14.848	4.931	24.31	17.515	5.829	33.977
DATM	MO	474921	7.977	1.801	3.245	9.757	2.198	4.83
DATM	NE	7704	10.094	3.06	9.366	11.449	3.705	13.728
DATM	VI	1448	17.525	1.581	2.498	22.283	2.358	5.558
FGMS	NM	399	7.138	1.376	1.893	8.333	1.627	2.648
FISV	AL	933	6.462	0.847	0.718	8.92	1.496	2.239
FISV	DC	6	10.167	0.373	0.139	13.167	0.373	0.139
FISV	NH	4	4.0	0.0	0.0	6.0	0.0	0.0
GABG	MO	4715	4.926	1.503	2.26	5.242	1.866	3.482
GABG	NE	25	6.48	0.854	0.73	7.32	1.157	1.338
GRPO	MO	6537	6.239	3.048	9.293	7.467	3.647	13.3
GRPO	NE	10	5.8	1.72	2.96	6.5	2.012	4.05
JMSI	AK	14927	13.748	1.769	3.131	15.835	2.002	4.01
JMSI	OR	84831	7.777	1.456	2.12	8.899	1.705	2.908
JMSI	RI	21126	6.658	1.027	1.056	7.678	1.093	1.195
JMSI	WA	129691	8.358	1.886	3.558	9.595	2.255	5.084
JMSI	WV	40049	6.915	2.04	4.161	8.036	2.453	6.019
QUAD	NC	3	6.0	0.0	0.0	7.0	0.0	0.0
VENT	HI	1	18.0	0.0	0.0	21.0	0.0	0.0
VENT	MA	11	11.909	1.443	2.083	13.909	1.443	2.083
VENT	SD	1	8.0	0.0	0.0	10.0	0.0	0.0
ASPN	IN	12162	8.775	2.739	7.504	10.722	3.124	9.761
BEST	NM	1428	8.075	1.748	3.055	9.075	1.748	3.055
BINK	MO	15723	8.204	2.687	7.221	9.674	3.25	10.559
BINK	NE	1	9.0	0.0	0.0	10.0	0.0	0.0
DATM	IN	351472	7.375	1.534	2.354	8.67	1.799	3.235
DATM	UT	19991	9.042	1.718	2.953	10.515	2.126	4.519
ERTH	MI	14572	9.399	1.108	1.228	11.388	1.153	1.33
FGMS	AR	385032	6.416	1.998	3.993	7.745	2.408	5.801
FGMS	GU	1	11.0	0.0	0.0	13.0	0.0	0.0
FGMS	IA	363	5.256	1.346	1.81	6.229	1.557	2.424
FISV	MS	1338	5.841	1.186	1.406	7.924	1.574	2.477
GABG	IN	2618	6.51	1.499	2.247	7.243	1.848	3.415
GABG	UT	35	8.543	3.652	13.334	9.829	4.232	17.913
GRPO	IN	5764	6.906	2.595	6.736	8.26	3.124	9.757
GRPO	UT	22	7.136	4.235	17.936	8.364	4.839	23.413
JENC	PA	1	10.0	0.0	0.0	11.0	0.0	0.0
JENC	TX	55715	10.347	1.215	1.477	12.101	1.5	2.251
JMSI	AL	125665	7.097	1.409	1.985	8.122	1.65	2.723
JMSI	DC	14997	6.455	1.353	1.83	7.51	1.497	2.241
JMSI	NH	22516	6.569	1.041	1.084	7.591	1.146	1.314
QUAD	IL	2	6.0	0.0	0.0	7.0	0.0	0.0
QUAD	MN	2	6.5	0.5	0.25	7.5	0.5	0.25
QUAD	NY	1	5.0	0.0	0.0	6.0	0.0	0.0
VENT	NM	2	12.0	2.0	4.0	14.5	2.5	6.25
ASPN	WA	134	10.336	2.495	6.223	12.56	2.798	7.829
BEST	AR	1301	9.583	3.206	10.279	10.902	3.854	14.854
BEST	IA	3424	7.656	1.232	1.518	8.684	1.348	1.818
BINK	IN	13018	8.506	2.773	7.69	10.043	3.299	10.885
BINK	UT	13	10.615	0.923	0.852	12.615	0.923	0.852
DATM	AK	2868	16.47	3.661	13.4	19.113	4.309	18.57
DATM	OR	30438	9.93	1.625	2.641	11.469	2.095	4.391
DATM	RI	7812	5.534	1.339	1.793	6.468	1.609	2.589
DATM	WA	52910	9.632	1.881	3.539	11.119	2.318	5.372
DATM	WV	13507	7.855	2.472	6.109	9.35	2.995	8.973
ERTH	OK	6087	9.147	0.721	0.52	11.148	0.746	0.557
ERTH	PA	64	12.266	0.956	0.914	14.266	1.049	1.101
ERTH	TX	70358	7.515	1.189	1.414	8.902	1.631	2.66
FGMS	CT	771	7.809	1.603	2.569	8.926	1.771	3.137
FGMS	GA	1217945	6.549	2.127	4.523	7.839	2.533	6.414
FGMS	MD	989	7.313	1.904	3.627	8.454	2.154	4.638
FGMS	WI	767165	5.783	2.261	5.111	6.991	2.683	7.198
FISV	CO	91	4.132	0.559	0.312	6.099	0.771	0.595
FISV	DE	1	4.0	0.0	0.0	6.0	0.0	0.0
FISV	KS	1018	3.761	0.784	0.614	5.674	0.937	0.878
FISV	MT	5	8.2	0.4	0.16	11.2	0.4	0.16
FISV	NJ	38	4.237	1.157	1.339	6.263	1.312	1.72
GABG	AK	1	6.0	0.0	0.0	7.0	0.0	0.0
GABG	OR	20	7.55	2.418	5.848	8.65	2.937	8.627
GABG	RI	3	6.333	0.471	0.222	7.333	0.471	0.222
GABG	WA	45	8.222	2.988	8.928	9.489	3.462	11.983
GABG	WV	10	6.2	0.872	0.76	7.1	1.136	1.29
GRPO	AK	9	10.111	3.315	10.988	11.889	4.04	16.321
GRPO	OR	22	7.545	2.311	5.339	8.727	2.597	6.744
GRPO	RI	6	7.167	2.192	4.806	8.333	2.56	6.556
GRPO	WA	48	8.25	3.62	13.104	9.521	4.228	17.875
GRPO	WV	20	7.25	2.022	4.087	8.3	2.17	4.71
JMSI	MS	88717	6.854	1.217	1.481	7.908	1.383	1.912
QUAD	MO	2	7.0	1.0	1.0	8.0	1.0	1.0
QUAD	NE	2	6.5	0.5	0.25	7.5	0.5	0.25
VENT	AR	132	7.917	1.194	1.425	9.288	1.621	2.629
VENT	IA	3	7.0	1.414	2.0	8.333	1.886	3.556
ASPN	AL	9807	9.262	2.169	4.703	11.22	2.448	5.99
BEST	CT	14318	4.644	0.622	0.387	4.696	0.775	0.6
BEST	GA	11270	7.172	0.769	0.592	8.194	0.884	0.782
BEST	MD	18996	8.477	1.386	1.921	9.504	1.563	2.443
BEST	WI	7753	7.699	1.844	3.401	8.762	2.095	4.389
BINK	AK	1	12.0	0.0	0.0	14.0	0.0	0.0
BINK	OR	5	12.4	0.8	0.64	14.4	0.8	0.64
BINK	RI	2	11.5	0.5	0.25	13.5	0.5	0.25
BINK	WA	10	12.0	2.049	4.2	13.9	2.508	6.29
BINK	WV	3	14.0	0.0	0.0	16.333	0.471	0.222
DATM	AL	210446	7.17	1.994	3.976	8.509	2.316	5.364
DATM	DC	4121	7.56	1.767	3.121	8.866	2.252	5.073
DATM	NH	9557	5.51	1.524	2.322	6.356	1.833	3.359
ERTH	AZ	82	13.756	3.161	9.989	16.22	3.901	15.22
ERTH	NV	1527	9.134	1.668	2.784	10.788	2.195	4.816
FGMS	FL	2053695	7.212	1.953	3.813	8.613	2.367	5.602
FGMS	KY	370084	6.323	2.24	5.016	7.568	2.564	6.574
FGMS	ME	128	7.758	0.95	0.902	9.0	1.231	1.516
FGMS	VT	73	7.425	0.826	0.683	8.521	1.022	1.044
FISV	SC	1434	6.937	1.197	1.433	9.547	1.72	2.959
FISV	TN	2086	5.244	1.019	1.038	7.357	1.373	1.886
GABG	AL	1951	6.311	0.782	0.611	7.157	1.07	1.144
GABG	DC	9	6.778	0.416	0.173	7.778	0.416	0.173
GABG	NH	12	6.917	0.276	0.076	7.917	0.276	0.076
GRPO	AL	4670	6.691	2.859	8.176	8.092	3.425	11.734
GRPO	DC	2	9.0	1.0	1.0	11.0	1.0	1.0
GRPO	NH	5	9.2	1.939	3.76	10.4	2.245	5.04
JENC	LA	113	10.115	1.054	1.111	11.257	1.295	1.678
JMSI	CO	73772	8.198	1.696	2.877	9.421	2.019	4.075
JMSI	DE	15377	5.976	0.915	0.837	6.98	0.957	0.916
JMSI	KS	60847	7.702	1.661	2.76	8.81	1.864	3.474
JMSI	MT	24962	7.353	2.136	4.564	8.541	2.492	6.21
JMSI	NJ	125062	6.208	1.622	2.631	7.227	1.893	3.584
JMSI	WY	12827	8.077	1.71	2.926	9.207	1.993	3.97
VENT	CT	9	10.111	1.197	1.432	12.0	1.491	2.222
VENT	GA	749	8.87	1.945	3.782	10.586	2.474	6.122
VENT	MD	5	8.6	1.356	1.84	10.2	1.833	3.36
VENT	WI	172	7.471	1.07	1.145	8.89	1.476	2.18
ASPN	MS	5744	8.512	2.646	7.0	10.454	3.133	9.813
BEST	FL	30003	6.989	0.981	0.963	8.009	1.032	1.065
BEST	KY	2108	7.856	1.801	3.242	8.936	2.045	4.182
BEST	ME	1219	7.642	2.609	6.806	8.751	2.917	8.508
BEST	VT	717	8.053	2.733	7.47	9.185	3.072	9.434
BINK	AL	15036	6.819	2.589	6.705	8.219	3.059	9.357
BINK	DC	5	14.6	0.49	0.24	17.2	0.4	0.16
BINK	NH	1	12.0	0.0	0.0	14.0	0.0	0.0
DATM	MS	109415	7.982	1.958	3.835	9.472	2.416	5.838
ERTH	LA	8177	8.152	0.753	0.567	9.859	0.963	0.927
FGMS	CA	5731243	9.05	1.668	2.783	10.828	2.017	4.07
FGMS	ID	222	7.973	2.013	4.053	9.189	2.327	5.415
FGMS	PR	22	11.955	0.208	0.043	13.955	0.208	0.043
FISV	HI	12	15.417	1.656	2.743	19.333	1.929	3.722
FISV	MA	20	4.45	0.497	0.248	6.45	0.497	0.248
GABG	MS	1102	6.235	1.027	1.055	7.039	1.314	1.725
GRPO	MS	3949	6.378	2.656	7.054	7.754	3.104	9.637
JENC	NC	5830	7.848	1.787	3.193	8.93	2.054	4.218
JMSI	SC	92265	6.358	1.551	2.406	7.32	1.922	3.696
JMSI	TN	150956	6.185	1.567	2.456	7.153	1.86	3.461
QUAD	OR	1	10.0	0.0	0.0	11.0	0.0	0.0
QUAD	WA	6	10.0	0.0	0.0	11.0	0.0	0.0
VENT	FL	1092	9.951	2.978	8.869	12.04	3.648	13.308
VENT	KY	166	8.217	1.295	1.676	9.693	1.765	3.116
VENT	ME	1	10.0	0.0	0.0	12.0	0.0	0.0
ASPN	KS	7962	7.857	2.317	5.368	9.734	2.645	6.998
BEST	CA	59499	9.086	1.78	3.17	10.285	1.992	3.968
BEST	ID	1141	10.514	1.563	2.443	11.588	1.821	3.315
BEST	PR	2	19.0	0.0	0.0	22.0	0.0	0.0
BINK	MS	9528	8.438	2.964	8.785	10.013	3.648	13.309
DATM	CO	46177	9.306	2.537	6.437	10.817	3.031	9.186
DATM	DE	8236	5.593	1.822	3.321	6.431	2.108	4.445
DATM	KS	359357	7.565	1.842	3.392	9.359	2.316	5.363
DATM	MT	4996	8.3	2.349	5.517	9.717	2.816	7.928
DATM	NJ	61065	5.591	2.034	4.137	6.418	2.331	5.433
DATM	WY	2265	9.009	2.61	6.81	10.451	3.161	9.992
ERTH	NC	8988	7.206	1.469	2.158	8.35	1.763	3.108
FGMS	OH	1323376	6.149	1.92	3.685	7.413	2.262	5.117
FGMS	VA	1636	6.95	1.6	2.559	8.062	1.804	3.253
FISV	NM	16	5.563	1.802	3.246	7.938	2.277	5.184
GABG	CO	80	7.113	0.57	0.325	8.113	0.57	0.325
GABG	DE	3	7.0	0.0	0.0	8.0	0.0	0.0
GABG	KS	1984	6.44	1.277	1.63	7.223	1.596	2.547
GABG	MT	4	10.75	2.861	8.188	12.25	3.345	11.188
GABG	NJ	105	6.543	0.602	0.362	7.552	0.662	0.438
GRPO	CO	40	7.225	3.037	9.224	8.35	3.554	12.628
GRPO	DE	10	7.6	2.835	8.04	8.7	3.318	11.01
GRPO	KS	3208	5.935	2.798	7.827	7.142	3.417	11.674
GRPO	MT	4	6.75	1.785	3.188	7.5	2.179	4.75
GRPO	NJ	56	10.232	4.293	18.428	11.964	5.064	25.642
GRPO	WY	3	5.0	0.0	0.0	6.0	0.0	0.0
JENC	IL	2488	9.446	2.783	7.747	10.882	3.416	11.667
JENC	NY	19	12.211	3.994	15.956	14.263	4.993	24.931
JMSI	HI	24318	15.133	1.704	2.905	17.305	1.998	3.991
JMSI	MA	195857	6.525	1.442	2.078	7.489	1.664	2.769
JMSI	SD	24573	7.715	2.122	4.505	8.889	2.369	5.611
QUAD	AL	1	6.0	0.0	0.0	7.0	0.0	0.0
VENT	CA	3312	10.425	2.333	5.441	12.246	2.919	8.521
VENT	ID	2	11.0	1.0	1.0	13.0	1.0	1.0
VENT	PR	2	12.0	0.0	0.0	14.0	0.0	0.0
ASPN	SC	9490	8.993	2.002	4.009	10.893	2.359	5.565
ASPN	TN	15650	8.159	2.089	4.365	9.92	2.513	6.315
BEST	OH	15016	7.052	1.174	1.379	8.079	1.276	1.628
BEST	VA	20158	8.115	1.226	1.504	9.133	1.331	1.772
BINK	CO	13	13.231	2.081	4.331	15.231	2.081	4.331
BINK	DE	1	11.0	0.0	0.0	13.0	0.0	0.0
BINK	KS	9003	7.65	2.463	6.064	9.099	2.866	8.215
BINK	MT	1	20.0	0.0	0.0	24.0	0.0	0.0
BINK	NJ	40	16.475	5.394	29.099	19.35	6.327	40.027
BINK	WY	1	10.0	0.0	0.0	12.0	0.0	0.0
DATM	SC	267538	6.588	1.591	2.53	7.779	1.933	3.735
DATM	TN	458352	6.799	1.607	2.583	8.096	2.055	4.221
ERTH	IL	29502	8.44	1.507	2.271	10.045	1.897	3.597
ERTH	MN	18413	6.332	0.836	0.698	7.28	0.999	0.997
ERTH	ND	1	14.0	0.0	0.0	17.0	0.0	0.0
ERTH	NY	217	10.751	1.441	2.076	12.788	1.569	2.462
FISV	AR	971	4.736	1.121	1.257	6.648	1.312	1.721
FISV	IA	10	3.6	0.8	0.64	5.6	0.8	0.64
GABG	SC	1469	7.674	1.635	2.674	8.705	1.779	3.164
GABG	TN	2904	6.121	1.08	1.165	6.967	1.364	1.859
GRPO	SC	4597	8.381	2.585	6.684	9.736	3.031	9.184
GRPO	TN	6123	6.583	2.544	6.473	7.951	2.979	8.876
JENC	MO	1870	7.614	1.315	1.73	8.665	1.435	2.059
JMSI	NM	26330	8.253	1.647	2.714	9.429	1.939	3.758
QUAD	MS	3	6.333	0.471	0.222	7.333	0.471	0.222
VENT	OH	400	8.1	1.223	1.495	9.548	1.693	2.868
VENT	VA	27	9.148	2.067	4.274	10.741	2.73	7.451
BINK	SC	12137	9.137	2.841	8.071	10.75	3.323	11.042
BINK	TN	23775	8.842	2.639	6.962	10.456	3.345	11.188
DATM	HI	6573	18.827	3.783	14.313	21.704	4.673	21.834
DATM	MA	46784	5.355	1.493	2.228	6.154	1.84	3.385
DATM	SD	5566	11.314	3.279	10.754	12.982	3.693	13.64
ERTH	MO	15233	7.745	2.386	5.692	8.932	3.107	9.653
ERTH	NE	6	10.5	1.5	2.25	12.5	1.5	2.25
FGMS	MI	1407665	6.891	1.824	3.328	8.199	2.13	4.537
FISV	CT	12	4.167	0.553	0.306	6.0	1.0	1.0
FISV	GA	3016	6.044	1.244	1.548	8.409	1.72	2.959
FISV	MD	16	8.563	2.179	4.746	11.375	2.497	6.234
FISV	WI	1741	7.082	1.33	1.769	9.796	1.959	3.838
GABG	HI	10	11.8	6.705	44.96	13.6	7.684	59.04
GABG	MA	83	6.181	4.529	20.51	7.024	5.134	26.361
GABG	SD	5	6.8	0.748	0.56	7.8	0.748	0.56
GRPO	HI	6	12.333	4.534	20.556	14.167	5.398	29.139
GRPO	MA	31	7.71	2.465	6.077	8.774	2.814	7.917
GRPO	SD	2	5.5	2.5	6.25	6.0	3.0	9.0
JENC	IN	402	7.751	1.448	2.097	8.836	1.677	2.814
JMSI	AR	103378	6.442	1.651	2.726	7.517	1.863	3.471
JMSI	IA	33794	7.669	1.889	3.568	8.832	2.183	4.767
QUAD	CO	10	10.6	0.49	0.24	12.2	0.98	0.96
QUAD	KS	8	9.625	1.111	1.234	10.875	1.536	2.359
QUAD	NJ	8	5.0	0.0	0.0	6.0	0.0	0.0
QUAD	WY	3	12.0	0.0	0.0	14.0	0.0	0.0
BEST	MI	13008	9.138	1.451	2.107	10.206	1.592	2.534
BINK	MA	31	12.774	2.66	7.078	15.032	3.043	9.257
BINK	SD	1	10.0	0.0	0.0	12.0	0.0	0.0
DATM	NM	12072	9.719	2.807	7.881	11.439	3.41	11.625
ERTH	IN	9380	8.96	1.05	1.103	10.909	1.114	1.242
ERTH	UT	25	13.92	0.392	0.154	16.88	0.588	0.346
FGMS	OK	616384	6.433	1.757	3.088	7.787	2.1	4.409
